"","faggch","faggat","faggde","faggfr","faggit"
"2015-11-06 04:00:00",20.6094370860927,314.044606144606,628.602543164082,63.1080829426137,475
"2015-11-06 05:00:00",30.3756691919192,300.633712543092,625.104878432378,76.7226897045425,475
"2015-11-06 06:00:00",39.1038152196329,292.426125090733,622.327256563741,90.6218627598674,475
"2015-11-06 07:00:00",40.262964784576,277.855603003452,617.261194564958,95.63209185872,475
"2015-11-06 08:00:00",38.6459872229986,294.930678031029,604.19139728194,95.5401445418186,475
"2015-11-06 09:00:00",32.8929857231533,299.329998829999,588.73843621024,93.8885778151558,475
"2015-11-06 10:00:00",30.1671095980672,304.558730763065,585.141973852929,93.1319845288534,475
"2015-11-06 11:00:00",25.4331839174137,329.73198861811,583.837416354632,92.8152935507783,475
"2015-11-06 12:00:00",26.7667878635908,350.076286691789,591.145811274898,93.918299722562,475
"2015-11-06 13:00:00",36.2750326228795,341.620858779529,606.675072174066,92.9649648181638,475
"2015-11-06 14:00:00",36.6944018404908,348.476177805985,638.653483738341,93.494280162217,475
"2015-11-06 15:00:00",36.3930805484147,349.325650827446,651.921304819841,95.5544032480466,475
"2015-11-06 16:00:00",37.0010574889444,298.592193565745,640.297528077337,98.8408276054928,475
"2015-11-06 17:00:00",35.2862443704719,301.688183514049,639.194460471817,97.7388920871593,475
"2015-11-06 18:00:00",35.0885081487672,345.626494597839,625.449139804812,98.3076612903226,475
"2015-11-06 19:00:00",33.0872120059184,333.581529398175,602.41302409969,93.7488859076961,475
"2015-11-06 20:00:00",33.6191402814424,339.794013380018,586.481650867978,89.9374822431717,475
"2015-11-06 21:00:00",29.8645954092279,284.098158421945,555.767536491241,89.0913880264634,475
"2015-11-06 22:00:00",20.1279721274175,247.728266033254,527.681210232629,84.6167427395895,475
"2015-11-06 23:00:00",19.8189099798677,252.539226599555,518.912840043294,70.3135027038234,475
"2015-11-07 00:00:00",18.7508695652174,246.999791840133,510.067835426931,64.227732274715,475
"2015-11-07 01:00:00",18.5393052184466,198.780496764996,512.9234474131,59.1648986241854,475
"2015-11-07 02:00:00",17.0660170523752,181.809734167318,514.982929485434,51.1315584614795,475
"2015-11-07 03:00:00",15.726474182707,177.723962159154,529.474318981072,52.9116483683183,475
"2015-11-07 04:00:00",18.0660847508207,174.705761093631,544.059139458306,52.2510399005313,475
"2015-11-07 05:00:00",19.1374742722729,165.393251831107,564.429020724844,52.4063622041474,475
"2015-11-07 06:00:00",21.0177460770328,173.041069508261,587.444445842772,52.046573923603,475
"2015-11-07 07:00:00",20.4221715588487,160.276458333333,589.449368911245,47.3862962309118,475
"2015-11-07 08:00:00",20.6906605922551,150.110435162766,590.9949844479,46.6630552267229,475
"2015-11-07 09:00:00",20.0266075065464,149.028923521851,578.777588003125,47.8403209188413,475
"2015-11-07 10:00:00",20.8946802239906,130.072900652225,562.879665113034,49.6738928637255,475
"2015-11-07 11:00:00",21.6790684133916,150.630266128481,545.074868493335,50.6181047415173,475
"2015-11-07 12:00:00",21.5874890766094,151.035938101965,538.287510984803,51.4857306907111,475
"2015-11-07 13:00:00",20.6843416370107,161.463578975347,544.876632511147,53.7863022113022,475
"2015-11-07 14:00:00",21.3331242707118,170.035440938511,556.827283753982,54.9084460155124,475
"2015-11-07 15:00:00",28.0976798748697,198.606455150803,563.440199436875,53.7086546617657,475
"2015-11-07 16:00:00",32.0905938448201,207.581944069535,543.835892722725,51.1596417205993,475
"2015-11-07 17:00:00",32.3472366710013,224.495488954117,510.839651226261,52.392614413289,475
"2015-11-07 18:00:00",33.3309144676979,257.086455083721,477.046070891221,52.0858725879201,475
"2015-11-07 19:00:00",33.1522155085599,290.327288341079,418.07578889806,51.330408008199,475
