"","TEFa","TEFb","TEFc","TEFd"
"2015-07-26 06:00:00",136.693869264478,15.2084749763928,74.5567748057249,43.6137039958178
"2015-07-26 07:00:00",112.054403176033,15.6478632478632,67.0399417687812,44.500956995094
"2015-07-26 08:00:00",94.1628612061568,15.9432020628223,59.9161902031731,42.4510011653642
"2015-07-26 09:00:00",104.914466592816,15.9781491587085,65.6485913661113,46.6524156702913
"2015-07-26 10:00:00",128.788442797165,15.8764240506329,77.0828148174505,54.0416605203369
"2015-07-26 11:00:00",114.31298267787,15.6696791685495,69.3300916425894,47.8253587273624
"2015-07-26 12:00:00",120.645455922642,15.3632247992864,71.3314332215086,47.5112338791679
"2015-07-26 13:00:00",116.453312078205,15.3216411181244,70.7085973083032,47.9072804920322
"2015-07-26 14:00:00",106.110125312545,15.0910408432148,67.3049189764946,47.0084907487668
"2015-07-26 15:00:00",114.271903409389,14.7484210526316,73.040557545672,52.2910479264903
"2015-07-26 16:00:00",151.470293964921,36.2342639593909,93.4633757171132,63.0729425324834
"2015-07-26 17:00:00",162.35335695695,35.2421293042867,93.0958971516139,55.2727985762424
"2015-07-26 18:00:00",176.251205581042,34.1291310072416,91.9652226349426,45.6872144591306
"2015-07-26 19:00:00",169.112869759834,35.0393288352273,91.816370675015,48.9919293180234
"2015-07-26 20:00:00",172.420018721608,31.3931263858093,88.9085170851767,40.962301383506
"2015-07-26 21:00:00",181.507154152558,25.8582732286805,95.5297276270275,49.8190742655852
"2015-07-26 22:00:00",175.038932405875,17.2552182163188,99.3309209535879,62.9534830283541
"2015-07-26 23:00:00",177.86640827859,14.5465551181102,100.59187315669,65.4554877654712
"2015-07-27 00:00:00",143.734090532595,14.5282885085575,82.8727205219278,53.7825705322721
"2015-07-27 01:00:00",148.824419998977,14.5296261239943,82.3577235503176,51.3330822004537
"2015-07-27 02:00:00",166.967278050298,14.5221644612476,87.6211813260259,51.6983940992625
"2015-07-27 03:00:00",188.514118290986,15.5380621233194,100.962410645906,60.7571211068889
"2015-07-27 04:00:00",192.025463319028,32.0321635171616,107.794227469581,66.2733837915212
"2015-07-27 05:00:00",164.786972882015,30.9540611488573,93.5801204679662,56.3418937238444
"2015-07-27 06:00:00",136.437212907576,26.7477995758218,75.5385881216056,41.075058711369
"2015-07-27 07:00:00",110.23973101264,28.2998316498316,69.6415985741779,45.4908073703164
"2015-07-27 08:00:00",99.7826545557202,28.8397258163894,67.799465070779,48.4084191454695
"2015-07-27 09:00:00",109.40933740303,33.6440293742018,78.1396844660535,59.481286976976
"2015-07-27 10:00:00",107.466532009035,32.0971175166297,79.1180523961124,62.6833141867154
"2015-07-27 11:00:00",100.385905269159,29.2372038834951,75.5547563225089,61.8755629694522
"2015-07-27 12:00:00",96.2082803127638,17.1242242907801,71.5204555181649,58.5131483273405
"2015-07-27 13:00:00",96.2131066398722,22.8402643068583,72.3206093414811,60.1661356662412
"2015-07-27 14:00:00",99.9087221614772,19.904681673933,73.4753471461036,60.1712521193862
"2015-07-27 15:00:00",106.404752129071,17.0159362568684,76.6910013905444,61.803244886667
"2015-07-27 16:00:00",103.124814266788,15.8787612516074,71.8988320566177,55.7923297158733
"2015-07-27 17:00:00",112.466650993723,23.3780566801619,75.5886103184025,55.9060368223177
"2015-07-27 18:00:00",120.064815030179,28.202570990023,78.2176984879841,55.6462170859576
"2015-07-27 19:00:00",122.733105122756,22.6095699831366,80.5480764597365,58.7119051385164
